seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,原表tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
714,,Road through the Fields（Émile Lambinet，1872-01-01，油彩）,,,object,19世纪法国及法国题材风景画,7,5.0,2.5,5.5,5.5,5.0,0,5.0,2.5,3.0,3.850,4.410,C,C,,Core 4.410 < 5.5,medium,田野道路是19世纪法国风景画中常见且易读的构图题材，具备合格的观赏与时代背景价值，但缺乏艺术史上的显著突破。,道路穿越田野与组内多件乡村风景高度相近，缺少足以从同类中脱颖而出的代表性。,
715,,Young Man Fishing beneath Willow Trees（Émile Lambinet，1856-01-01，油彩）,,,object,19世纪法国及法国题材风景画,7,5.0,2.5,6.0,5.5,5.5,0,5.2,4.0,3.4,4.480,4.623,C,C,,Core 4.623 < 5.5,medium,柳树下垂钓的乡村场景具有亲和力和明确的日常生活叙事，但作品与作者在MFA庞大的法国绘画体系中都较容易被其他风景画替代。,兰比内早期垂柳垂钓题材在组内有一定画面辨识度，但仍与多件乡村风景重复，代表性居中偏后。,
716,,Study of Olympe Pelissier as Judith（奥拉斯·韦尔内，1831-01-01，油彩）,,,object,19世纪法国学院派人物画,1,6.5,3.5,5.5,5.5,6.0,0,6.5,8.0,4.5,6.550,5.380,C,C,,Core 5.380 < 5.5,medium,韦尔内是具有国家级影响的法国学院派画家，朱迪思题材能说明19世纪历史画与戏剧化女性形象传统，但作为人物习作其完成度和不可替代性低于代表作。,组内唯一的19世纪法国学院派人物画，因在本组无同类重复而D偏高，但其馆内叙事补位价值有限，且未必属于韦尔内最具代表性的作品。,
717,,"Fishing on the Bank of the Oise, Pontoise（Emilio Sánchez-Perrier）",,,object,19世纪法国及法国题材风景画,7,5.5,2.5,6.0,5.5,5.5,0,5.5,5.0,3.5,4.950,4.770,C,C,,Core 4.770 < 5.5,medium,Sánchez-Perrier擅长法式田园风景，此作具有清晰的地方景观和休闲生活吸引力，但在19世纪法国风景画的大范围比较中仍属中等常规作品。,作为组内唯一的桑切斯-佩里埃作品，艺术家与地域景观类型提供一定补位，但总体典范性低于兰比内代表作。,
718,,Mountain Landscape from Clavadel（恩斯特·路德维希·基希纳，1925-01-01，油彩）,,,object,德国表现主义油画,2,8.0,4.5,8.0,7.5,7.5,0,7.8,5.7,6.0,6.810,6.856,,B,变,Core 6.856 落在 5.5–7.19,medium,基希纳是德国表现主义的核心艺术家，达沃斯山景体现其成熟期对自然的强烈主观变形与色彩语言，艺术史和现场视觉冲击显著，但该板块并非MFA最具身份性的核心。,组内列第二：1925年山景仍具基希纳个人风格与德国表现主义价值，但相较早期人体画在运动典范性和不可重复性上较弱，且主要承担现代欧洲风景叙事的补位作用。,
719,,Reclining Nude（恩斯特·路德维希·基希纳，1909-01-01，油彩）,,,object,德国表现主义油画,2,8.0,4.5,7.5,7.0,7.5,0,8.5,8.3,6.2,7.980,6.823,,B,变,Core 6.823 落在 5.5–7.19,medium,1909年的裸女画属于基希纳早期表现主义探索，能说明现代人物画对学院传统的突破，艺术家重要性很高，但单幅作品未必达到其全球最具代表性的顶点。,组内代表性更强：1909年的基希希纳人体画处于其早期表现主义实践的关键阶段，较1925年山景更能代表德国表现主义的核心语言，故列首位。,
720,,Good News（Erskine Nicol，1866-01-01，油彩）,,,object,19世纪英国及苏格兰叙事绘画,1,5.0,2.5,5.5,5.5,5.5,0,6.5,9,5,6.950,4.795,,C,变,Core 4.795 < 5.5,medium,Nicol的类型画以通俗叙事和日常情节为主要吸引力，易于理解且具有一定社会风俗信息，但在MFA的百科全书式收藏中属于可替代的常规作品。,组内唯一的19世纪英国及苏格兰叙事绘画，因无同类藏品分流而具较高代表性与非重复性，但艺术家及作品并非该领域最核心的典范，且对MFA主叙事的补位价值有限。,
721,,Portrait of a Young Woman (The Debutante)（Ethel Walker，油彩）,,,object,19世纪末英国女性肖像画,1,6.5,4.5,6.5,6.5,5.5,0,6.5,8.0,5.0,6.650,5.865,C,B,变,Core 5.865 落在 5.5–7.19,medium,Ethel Walker是有明确艺术史地位的女性画家，但该肖像在MFA的英国及女性肖像收藏中更像一件质量较好的非核心作品，吸引力主要来自人物形象与画面风格。,组内唯一的19世纪末英国女性肖像，因无同组重复对象而具较高代表性，但作品及艺术家在MFA整体叙事中的核心地位有限。,
722,,Portrait of a Woman（Étienne Dumonstier）,,,object,法国文艺复兴肖像画,1,6.5,4,5.5,5,6.5,0,6.5,8,5.5,6.750,5.525,C,B,变,Core 5.525 落在 5.5–7.19,low,Dumonstier属于法国文艺复兴宫廷肖像传统中的重要画家，作品有时代与肖像史价值，但单件展品的公众辨识度和MFA不可替代性有限。,组内唯一的法国文艺复兴肖像画，具备填补该专门类别的代表性，但作品本身的典范地位仍属中上而非顶级名作。,
723,,Breezy day in Venice（Ettore Tito，1895-01-01，油彩）,,,object,意大利19世纪城市风景画,1,5.5,3.5,6.5,6,4.5,0,6.5,8.0,3.5,6.350,5.160,C,C,,Core 5.160 < 5.5,medium,Ettore Tito的威尼斯题材具有明快的城市风景观赏性，但画家及作品在MFA整体叙事中并非核心，历史与教育价值相对有限。,组内唯一的意大利19世纪城市风景画，因无同类重复而具较高代表性，但在MFA整体叙事中仅补充意大利城市视觉文化，品质与馆藏身份关联度属中等。,
724,,Young Man Asleep（Eugene Berman，1931-01-01，油彩）,,,object,20世纪新浪漫主义与超现实主义油画,2,5.5,3,5.5,5,5,0,5.5,4,3.5,4.650,4.640,C,C,,Core 4.640 < 5.5,medium,Berman的梦幻性绘画在20世纪艺术史中有一定位置，但《Young Man Asleep》缺少已知的突出事件或馆藏地位，较像可替代的专题性作品。,组内排第2：作品质量尚可，但与同组更具代表性的《City by Night》题材与艺术定位相近，独特性和叙事补位价值相对有限。,
725,,City by Night（Eugene Berman，1930-01-01，油彩）,,,object,20世纪新浪漫主义与超现实主义油画,2,5.5,3,6,6,5,0,6,7,4,5.900,4.990,B,C,变,Core 4.990 < 5.5,medium,夜景城市题材可能提供较强的氛围和视觉吸引力，但Berman在MFA中的身份权重有限，作品的艺术史与叙事价值仍属中等。,组内排第1：较之同组的《Young Man Asleep》，《City by Night》更能代表Berman的新浪漫主义都市意象，重复性较低。,
726,,Paul Verlaine（欧仁·卡里埃，1891-01-01）,,,object,法国象征主义肖像画,2,7,5.5,6.5,6.5,7,0,7.5,8,5,7.150,6.490,C,B,变,Core 6.490 落在 5.5–7.19,medium,Carrière的朦胧肖像风格具有明确的法国现代艺术史意义，而被描绘者保罗·魏尔伦又连接文学史，使作品的文化解释力高于一般肖像。,组内代表性第一：卡里埃为象征主义肖像的重要画家，且以明确身份的诗人魏尔伦为题材，独特性和叙事价值明显高于另一幅无名男子肖像。,
727,,Portrait of a Man（欧仁·卡里埃，1879-01-01，油彩）,,,object,法国象征主义肖像画,2,6,4.5,5.5,5.5,5,0,6,3,3,4.500,5.175,C,C,,Core 5.175 < 5.5,medium,Carrière的绘画语言具有辨识度，但普通男性肖像缺少名人或特殊叙事背景，在MFA法国艺术收藏中属于可替代的中等作品。,组内代表性第二：虽体现卡里埃朦胧肖像风格，但题材为一般男性肖像，与组内另一件同类作品重复度较高，补位价值有限。,
728,,Village of Bouron（Eugène Ciceri，1852-01-01）,,,object,法国19世纪风景画（非印象派）,3,4.5,3,5,4.5,4,0,4.8,2.5,3,3.750,4.050,C,C,,Core 4.050 < 5.5,low,Ciceri的乡村风景画反映19世纪法国景观绘画趣味，但画家和题材均非MFA的重点板块，作品主要提供一般性的风景观赏价值。,组内代表性最低：普通村景构图的独特性和不可替代性弱于另外两幅，主要承担一般法国19世纪风景画的补充作用。,
729,,On the Loing River（Eugène Ciceri，1852-01-01）,,,object,法国19世纪风景画（非印象派）,3,4.5,3,5.5,5,4,0,5.2,3.5,3.5,4.350,4.260,C,C,,Core 4.260 < 5.5,low,《On the Loing River》具有河流与自然景观的直观观赏性，但在法国19世纪绘画内部缺乏突出的艺术史地位或不可替代性。,组内居中：河流景观具有一定主题辨识度，但仍与同组另一幅自然风景画存在较明显重复。,
730,,"Artist in the Gorge aux Loups, Forest of Fontainebleau（Eugène Ciceri，1852-01-01）",,,object,法国19世纪风景画（非印象派）,3,4.5,3,5.5,5,4.5,0,5.5,5.5,4,5.200,4.420,C,C,,Core 4.420 < 5.5,low,森林峡谷与画中人物增加了场景性和叙事暗示，然而Ciceri及此类风景画在MFA中仍属常规的非核心收藏。,组内代表性最高：题材明确指向枫丹白露森林及画家在场，较另外两幅一般性风景更具辨识度与叙事补位价值。,
731,,The Descent from the Cross（欧仁·德拉克罗瓦）,,,object,法国浪漫主义绘画,2,8.5,7,8,7.5,8,0,8.7,6.4,7.5,7.770,7.752,A,A,,Core 7.752 落在 7.2–8.49,high,德拉克罗瓦是法国浪漫主义的代表性大师，宗教历史题材兼具强烈情绪表现与欧洲绘画史解释力，在MFA中属于重要的法国艺术作品。,组内次位：作品品质与历史价值突出，但与《猎狮》同属德拉克罗瓦代表性浪漫主义绘画，在本组中独特性和不可替代性相对较低，主要补足宗教题材一环。,
732,,猎狮（欧仁·德拉克罗瓦，1858-01-01，油彩）,,,object,法国浪漫主义绘画,2,9,7.5,9,8.5,8,0,9.3,8.8,8.2,8.930,8.393,A,A,,Core 8.393 落在 7.2–8.49,high,《猎狮》集中体现德拉克罗瓦成熟期的戏剧性动势、色彩和异域题材，艺术史地位、现场冲击力及普通游客吸引力均明显高于馆藏常规品。,组内代表性最高：作为德拉克罗瓦成熟期的标志性动物题材作品，其品质与辨识度均高于另一件，且补足MFA法国浪漫主义的戏剧性与东方想象叙事。,
733,,The Lamentation (Christ at the Tomb)（欧仁·德拉克罗瓦，1848-01-01，油彩）,,,object,19世纪法国浪漫主义宗教绘画,1,8.0,6.0,7.0,6.5,7.0,0,8.5,8.5,6.5,8.100,6.985,B,B,,Core 6.985 落在 5.5–7.19,medium,德拉克罗瓦是法国浪漫主义核心大师，此作具有宗教题材与其个人风格的重要性，但并非其最具代表性的世界级名作，且不属于MFA最不可替代的身份板块。,组内唯一的19世纪法国浪漫主义宗教绘画，以德拉克罗瓦代表性创作补足法国浪漫主义及宗教绘画叙事，故D取高位但G属补位而非全馆核心。,
734,,Landscape with a Mill（Eugène Deshayes，1860-01-01，油彩）,,,object,19世纪法国风景画,7,4.5,3.5,5.5,5.0,4.5,0,4.8,3.0,3.0,3.900,4.415,,C,变,Core 4.415 < 5.5,medium,德沙耶是相对次要的19世纪法国风景画家，作品可作为时代风景画的合格例子，但艺术史地位和MFA内部不可替代性均有限。,组内靠后：磨坊与乡村景观属于常见类型，较难提供区别于同组作品的独立代表性。,
735,,Khan in Algiers（欧仁·弗罗芒坦）,,,object,19世纪法国东方主义绘画,4,6.5,5.0,6.5,6.0,6.5,0,6.5,6.0,6.0,6.250,6.025,C,B,变,Core 6.025 落在 5.5–7.19,medium,弗罗芒坦是法国东方主义绘画中有明确地位的艺术家，阿尔及尔场景兼具异域风俗与殖民时代观看史价值，但未达到该领域顶尖名作的层级。,组内第二：弗罗芒坦的重要东方主义画家，《Khan in Algiers》在题材与场景叙事上较另两件弗罗芒坦作品更有区分度。,
736,,Standard Bearer（欧仁·弗罗芒坦，1862-01-01，油彩）,,,object,19世纪法国东方主义绘画,4,6.5,5.0,6.5,6.0,6.0,0,6.5,4.5,5.5,5.700,5.895,C,B,变,Core 5.895 落在 5.5–7.19,medium,弗罗芒坦以北非题材和鲜明的东方主义视觉语言著称，持旗者题材具有较强叙事性与画面吸引力，但在MFA中仍属于重要板块内的常规精品。,组内第三：虽体现弗罗芒坦对北非人物与风俗的关注，但作为同组画家作品，与《Khan in Algiers》的东方主义人物叙事存在一定重复。,
737,,North African Landscape（欧仁·弗罗芒坦，1847-01-01）,,,object,19世纪法国东方主义绘画,4,6.5,5.0,6.0,5.5,6.0,0,6.0,3.5,5.0,5.050,5.680,C,B,变,Core 5.680 落在 5.5–7.19,medium,弗罗芒坦的北非风景能够说明19世纪法国东方主义与旅行观看的关系，艺术家地位可靠，但单件作品的叙事和视觉冲击不及其更具人物或场景性的作品。,组内末位：北非景观具有地域补位价值，但相较热罗姆作品及弗罗芒坦的具体人物场景，主题辨识度和组内独特性较低。,
738,,Harbor View（欧仁·伊萨贝，1850-01-01，油彩）,,,object,19世纪法国海景与风俗绘画,2,5.5,4.5,6.0,5.5,5.5,0,5.5,7.0,4.5,5.750,5.350,C,C,,Core 5.350 < 5.5,medium,伊萨贝是19世纪法国海景与风俗画家中的知名人物，港景题材具有稳定的观赏性和时代风格信息，但在MFA的法国绘画收藏中不具高度不可替代性。,组内代表性更高：作为伊萨贝的海景作品，比另一件室内风俗画更能体现其海事题材与浪漫主义风格，重复性较低。,
739,,Courtiers in an Interior（欧仁·伊萨贝，1864-01-01）,,,object,19世纪法国海景与风俗绘画,2,5.5,4.0,5.5,5.0,5.5,0,5.0,4.0,4.0,4.500,4.950,C,C,,Core 4.950 < 5.5,medium,伊萨贝的室内人物场景可补充19世纪法国风俗画面貌，但艺术史影响和现场视觉吸引力较为有限，属于可替代的馆藏例作。,组内相对次位：虽为伊萨贝作品且具19世纪法国风俗画价值，但与同组海景作品相比题材代表性和补位作用较弱，重复度更高。,
740,,Landscape near Cayenz with a Sheepdog and Flock（Eugen Jettel，1889-01-01，油彩）,,,object,19世纪法国风景画,7,4.5,3.5,5.5,5.0,4.5,0,4.8,2.6,2.8,3.740,4.399,C,C,,Core 4.399 < 5.5,medium,Jettel属于较少为普通观众熟知的欧洲风景画家，此作可提供19世纪末风景画的区域性例证，但在历史重要性、教育叙事和MFA身份关联上都较弱。,组内代表性最低：带牧群的田园风景与同组乡野题材重复度最高，叙事补位有限。,
741,,Harbor Entrance（欧仁·布丹，1873-01-01，油彩）,,,object,19世纪法国海景画,4,7.0,6.0,7.0,6.5,6.0,0,7.5,8.0,5.5,7.250,6.550,B,B,,Core 6.550 落在 5.5–7.19,medium,布丹是连接19世纪海景画与印象派的重要法国画家，港口光色和海气氛具有较强现场吸引力；但相较MFA的莫奈等核心收藏，单件不可替代性仍属中上。,组内代表性最高：早期港口海景最能体现布丹的核心海洋画题材，且与其余三件形成明显区分。,
742,,Washerwomen near a Bridge（欧仁·布丹，1883-01-01，油彩）,,,object,19世纪法国海景画,4,6.5,5.5,6.0,5.5,5.5,0,6.2,3.5,4.0,4.950,5.720,B,B,,Core 5.720 落在 5.5–7.19,medium,布丹的海滨与劳动者题材能够说明法国现代海景画向印象派观察方式的转变，作品艺术质量稳健，但其教育与视觉冲击不及最具代表性的海滩名作。,组内相对靠后：洗衣妇与桥的日常场景虽有生活性，但在本组海景类型中独特性和典范度较弱。,
743,,"Venice, Santa Maria della Salute from San Giorgio（欧仁·布丹，1895-01-01，油彩）",,,object,19世纪法国海景画,4,6.0,5.0,6.5,6.0,5.5,0,6.5,5.0,4.5,5.650,5.715,B,B,,Core 5.715 落在 5.5–7.19,medium,布丹描绘威尼斯圣母救世主堂的港湾景观具有明确的城市与光色观赏性，但题材较常见，且在MFA法国绘画体系中更像有价值的补充性作品。,组内居中偏后：威尼斯地标题材具有地域辨识度，但较偏晚期旅行风景，代表性不及港口与海滩场景。,
